id,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,daily_price,number_of_reviews,review_scores_rating,review_scores_location,TV,WiFi,Air_Condition,Wheelchair_accessible,Kitchen,Breakfast,Elevator,Heating,Washer,Iron,Luggage_dropoff_allowed,Pets_allowed,Smoking_allowed
73892,1,2,3,1,1,94,84,94,10,1,1,1,0,1,0,1,1,0,1,0,0,0
74169,1,4,3,1,1,125,3,100,10,1,1,1,0,1,0,1,1,1,1,0,0,0
77958,1,2,3,1,1,100,70,97,10,1,1,1,0,1,0,1,1,0,1,0,0,0
93025,1,3,3,1,2,120,57,97,10,1,1,1,0,1,0,1,1,0,1,1,1,0
132705,1,2,3,0,1,70,44,90,9,1,1,1,0,1,0,1,1,1,1,0,0,0
141833,1,2,3,1,1,200,79,98,10,1,1,1,0,1,0,1,1,1,1,0,0,0
233795,1,4,5,1,2,700,72,96,10,1,1,1,1,1,0,1,1,1,1,1,0,0
255104,1,4,3,1,2,250,126,98,10,1,1,1,0,1,0,1,1,0,0,0,0,0
271845,1,6,3,1,4,100,377,94,10,1,1,1,0,1,0,1,1,1,1,0,0,0
272886,1,5,3,1,4,280,22,95,10,1,1,1,0,1,0,1,1,0,1,0,1,0
272888,1,5,3,1,4,320,31,95,10,1,1,1,0,1,0,1,1,1,1,0,1,0
272890,1,4,3,1,3,240,1,40,10,1,1,1,0,1,0,1,1,1,1,0,1,0
272892,1,4,5,2,4,290,3,60,10,1,1,1,0,1,0,1,1,1,1,0,1,0
272896,1,5,17,1,4,290,48,94,10,1,1,1,0,1,0,1,1,1,1,0,1,0
273873,1,5,5,2,3,220,10,86,9,1,1,1,0,1,0,1,1,0,1,0,1,0
281710,1,4,3,1,2,84,56,91,10,1,1,1,1,1,0,1,1,1,1,0,1,1
289063,1,2,3,1,1,60,7,100,10,1,1,0,0,1,0,0,1,1,0,0,0,1
314620,1,4,3,1,1,99,7,94,10,1,1,1,0,1,0,1,1,1,1,1,0,0
323241,1,2,3,1,1,110,103,95,10,1,1,1,0,1,0,1,1,1,1,0,0,0
323556,1,2,3,1,2,110,107,94,10,1,1,1,0,1,0,1,1,1,1,0,0,0
327452,1,2,3,1,3,100,5,100,10,1,1,1,0,1,1,1,1,1,1,0,0,1
348111,1,2,3,1,1,80,314,87,10,1,1,1,0,1,0,1,1,1,1,1,0,0
348448,1,2,3,1,1,73,54,88,10,1,1,0,0,1,0,1,1,1,1,0,0,0
381512,1,4,5,2,2,300,32,95,10,1,1,1,0,1,0,0,1,1,0,1,0,0
385469,1,3,3,1,1,70,2,70,10,1,1,1,0,1,0,1,1,1,0,0,1,0
400300,1,4,3,2,2,290,3,100,10,1,1,1,0,0,0,1,1,1,1,1,0,0
403602,1,3,3,1,3,233,17,89,10,1,1,0,1,1,1,1,1,1,1,1,0,0
412833,1,5,5,2,4,265,139,97,10,1,1,1,0,1,0,1,1,1,1,1,0,0
422744,1,4,3,1,2,80,5,96,10,1,1,1,0,1,0,1,1,1,1,0,1,0
427972,1,4,3,1,2,51,139,91,10,1,1,1,1,1,0,1,1,1,1,0,0,0
431719,1,6,5,3,3,499,6,100,10,1,1,1,0,1,1,1,1,1,1,1,0,0
434334,1,2,3,1,1,110,336,99,10,1,1,1,0,1,0,1,1,1,1,1,0,0
434379,1,2,3,1,1,74,9,98,10,1,1,0,0,1,1,1,1,0,1,1,1,0
451490,1,4,3,1,2,74,146,96,10,1,1,1,0,1,0,0,1,1,1,0,1,0
462027,1,4,3,1,2,110,44,92,10,0,1,1,0,1,0,0,1,1,1,0,1,1
466141,1,4,3,1,2,70,395,94,10,1,1,1,0,1,0,1,1,1,1,0,1,1
519218,1,4,3,1,2,88,131,90,9,0,1,1,0,1,0,1,1,0,0,1,1,1
538552,1,5,3,2,5,84,154,94,10,1,1,1,0,1,0,1,1,1,1,1,0,0
562913,1,3,3,1,1,95,99,97,10,1,1,1,0,1,0,1,1,1,1,1,0,1
621791,1,3,4,1,3,180,5,88,10,0,1,1,0,1,0,0,1,1,1,0,0,0
645501,1,2,3,1,1,81,7,100,10,1,1,0,0,1,0,1,1,1,1,0,0,1
647254,1,5,3,1,2,120,103,79,10,1,1,1,0,1,0,1,1,0,1,0,0,0
647678,1,4,3,1,4,120,133,81,10,1,1,1,0,1,0,1,1,0,1,0,1,1
652308,1,4,3,1,1,100,84,97,10,1,1,1,0,1,0,0,1,1,1,0,0,0
709966,1,2,3,1,2,68,34,93,9,0,1,1,0,1,0,1,1,1,1,1,0,0
713786,1,3,3,1,3,165,30,91,10,1,1,1,1,1,0,1,1,1,1,0,0,0
715392,1,2,4,1,2,75,88,98,10,1,1,1,0,1,0,1,1,1,1,0,0,0
721653,1,4,4,2,2,135,65,94,10,1,1,1,0,1,0,1,1,1,1,1,0,0
739252,1,2,3,1,1,58,24,97,10,1,1,1,0,1,0,0,1,1,1,0,0,0
753046,1,2,3,1,2,60,3,93,9,0,1,0,0,0,0,1,1,0,1,0,0,0
768969,1,2,3,1,1,76,495,98,10,1,1,1,0,1,1,1,1,1,0,0,0,0
772574,1,3,4,1,3,110,13,98,10,1,1,1,1,1,0,1,1,1,1,0,0,0
