id,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,daily_price,number_of_reviews,review_scores_rating,review_scores_location,TV,WiFi,Air_Condition,Wheelchair_accessible,Kitchen,Breakfast,Elevator,Heating,Washer,Iron,Luggage_dropoff_allowed,Pets_allowed,Smoking_allowed
73892,1,2,3,1,1,94,84,94,10,1,1,1,0,1,0,1,1,0,1,0,0,0
77958,1,2,3,1,1,100,70,97,10,1,1,1,0,1,0,1,1,0,1,0,0,0
271845,1,6,3,1,4,100,377,94,10,1,1,1,0,1,0,1,1,1,1,0,0,0
281710,1,4,3,1,2,84,56,91,10,1,1,1,1,1,0,1,1,1,1,0,1,1
289063,1,2,3,1,1,60,7,100,10,1,1,0,0,1,0,0,1,1,0,0,0,1
314620,1,4,3,1,1,99,7,94,10,1,1,1,0,1,0,1,1,1,1,1,0,0
327452,1,2,3,1,3,100,5,100,10,1,1,1,0,1,1,1,1,1,1,0,0,1
348111,1,2,3,1,1,80,314,87,10,1,1,1,0,1,0,1,1,1,1,1,0,0
348448,1,2,3,1,1,73,54,88,10,1,1,0,0,1,0,1,1,1,1,0,0,0
422744,1,4,3,1,2,80,5,96,10,1,1,1,0,1,0,1,1,1,1,0,1,0
427972,1,4,3,1,2,51,139,91,10,1,1,1,1,1,0,1,1,1,1,0,0,0
434379,1,2,3,1,1,74,9,98,10,1,1,0,0,1,1,1,1,0,1,1,1,0
451490,1,4,3,1,2,74,146,96,10,1,1,1,0,1,0,0,1,1,1,0,1,0
466141,1,4,3,1,2,70,395,94,10,1,1,1,0,1,0,1,1,1,1,0,1,1
538552,1,5,3,2,5,84,154,94,10,1,1,1,0,1,0,1,1,1,1,1,0,0
562913,1,3,3,1,1,95,99,97,10,1,1,1,0,1,0,1,1,1,1,1,0,1
645501,1,2,3,1,1,81,7,100,10,1,1,0,0,1,0,1,1,1,1,0,0,1
652308,1,4,3,1,1,100,84,97,10,1,1,1,0,1,0,0,1,1,1,0,0,0
715392,1,2,4,1,2,75,88,98,10,1,1,1,0,1,0,1,1,1,1,0,0,0
739252,1,2,3,1,1,58,24,97,10,1,1,1,0,1,0,0,1,1,1,0,0,0
768969,1,2,3,1,1,76,495,98,10,1,1,1,0,1,1,1,1,1,0,0,0,0
786494,1,4,3,2,2,81,120,94,10,1,1,0,0,1,0,1,1,1,1,1,0,0
812419,1,1,3,1,1,80,42,97,10,1,0,1,1,1,1,1,1,1,1,0,0,0
892048,1,4,3,1,1,79,11,100,10,1,1,0,0,1,0,0,1,1,1,0,0,1
922867,1,2,3,0,1,59,161,96,10,1,1,1,1,1,0,1,1,1,1,1,0,0
982808,1,3,3,1,1,95,416,99,10,1,1,1,0,1,0,0,1,1,1,0,0,0
1258803,1,4,3,1,0,97,220,98,10,1,1,1,1,1,0,1,1,1,1,0,0,0
1375952,1,2,3,1,2,90,4,90,10,1,1,0,1,1,1,1,1,1,1,0,0,0
1482235,1,3,3,1,2,78,645,93,10,1,1,1,0,1,1,1,1,1,1,0,1,1
1605816,1,4,3,1,2,99,206,96,10,1,1,1,0,1,0,0,1,0,1,1,1,0
1641307,1,2,3,1,1,60,30,91,10,1,1,0,0,1,0,0,1,1,1,0,1,0
1642286,1,2,3,1,2,53,146,95,10,0,1,1,0,1,0,1,1,1,1,1,0,0
1816945,1,3,3,1,2,79,53,91,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1841394,1,5,3,1,5,75,8,93,10,0,0,0,0,1,1,0,0,1,1,1,1,0
1902250,1,4,3,1,2,61,53,94,10,1,1,1,0,1,0,1,1,1,1,1,0,0
1907780,1,2,3,1,1,100,158,99,10,1,1,1,0,1,0,1,1,1,1,1,0,0
2086660,1,4,3,0,1,80,53,95,10,1,1,1,0,1,0,1,1,0,1,1,0,0
2090608,1,2,3,1,2,80,5,100,10,1,1,0,0,1,1,1,1,0,0,1,0,0
2137508,1,2,5,1,1,75,13,100,10,1,1,1,0,1,0,1,1,1,1,0,0,0
2389266,1,2,3,0,1,55,99,97,10,1,1,1,0,1,0,0,1,1,1,0,1,0
2389898,1,3,3,1,2,95,526,95,10,1,1,1,0,1,1,1,1,0,1,0,0,0
2422568,1,2,3,1,1,90,208,98,10,1,1,1,0,1,1,1,1,1,1,0,0,0
2439450,1,3,3,1,2,80,153,91,10,1,1,0,0,1,0,1,1,1,1,0,0,0
2598713,1,4,3,2,3,70,72,89,10,1,1,0,0,1,0,0,1,1,1,1,1,1
2600990,1,2,3,1,1,64,206,92,10,1,1,1,0,1,0,1,1,0,1,0,0,0
2624636,1,3,3,1,2,100,23,95,10,1,1,1,0,1,0,1,1,1,1,1,0,0
2671220,1,5,5,3,5,89,371,99,10,1,1,1,1,1,1,1,1,1,1,1,1,0
2689114,1,3,3,1,2,60,64,91,10,1,1,0,0,1,0,0,1,1,1,1,1,1
2690670,1,3,3,1,2,50,79,88,10,1,1,0,0,1,0,0,1,1,1,1,1,1
2718812,1,2,3,0,1,75,238,94,10,0,1,0,0,0,0,0,1,0,1,1,1,1
2913219,1,3,3,2,2,95,13,92,10,1,1,1,0,1,1,1,1,1,1,0,0,1
3046688,1,3,3,0,1,90,358,97,10,1,1,1,0,1,0,1,1,1,1,1,0,0
3054737,1,4,3,2,2,80,78,91,10,1,1,1,0,1,0,1,1,1,1,1,0,0
3120799,1,2,3,1,1,100,24,98,10,1,1,0,0,1,1,0,1,1,0,0,0,0
3181504,1,2,3,0,2,75,240,98,10,1,1,1,0,1,0,1,1,0,1,0,0,0
3296790,1,3,3,1,3,80,6,87,10,1,1,1,0,1,0,0,1,0,1,0,0,1
3298062,1,3,3,1,2,75,17,85,10,1,1,1,0,1,0,0,1,0,1,0,0,1
3298070,1,3,3,1,1,91,9,89,10,1,1,1,0,1,0,1,1,0,1,0,0,1
3298322,1,2,3,1,1,75,1,100,10,1,1,1,0,1,0,1,1,0,1,0,0,1
3410161,1,4,3,1,2,95,104,93,10,1,1,1,0,1,0,1,1,0,1,0,0,0
3963881,1,2,3,1,1,70,123,96,10,1,1,1,0,1,0,1,1,1,1,1,0,0
3980793,1,3,3,0,3,88,290,92,10,1,1,1,0,1,0,1,1,1,1,1,0,0
4010336,1,4,3,1,2,80,58,95,10,1,1,1,0,1,0,1,1,1,1,0,0,0
4010761,1,2,3,0,1,38,248,95,10,1,1,1,0,1,0,1,1,0,1,1,0,0
4134757,1,4,3,1,2,80,15,99,10,1,1,1,0,1,0,1,1,1,1,0,1,0
4152963,1,2,3,0,2,70,13,94,10,1,1,1,0,1,0,1,1,1,1,0,0,0
4179997,1,3,3,1,1,90,25,98,10,1,1,1,1,1,0,1,1,1,1,0,0,0
4436997,1,2,3,1,1,80,39,96,10,1,1,0,0,1,0,1,1,1,1,1,0,0
4483022,1,2,3,1,1,98,240,94,10,1,1,1,0,1,0,0,1,0,1,0,0,0
4487775,1,2,3,1,1,100,54,98,10,1,1,1,0,1,0,1,1,1,1,0,0,0
4517111,1,4,3,1,2,75,189,82,10,0,1,1,0,1,0,0,1,0,1,0,0,0
4523509,1,5,3,2,3,55,164,90,10,0,1,0,0,1,0,0,1,0,1,0,0,0
4523562,1,2,3,1,1,45,89,91,10,0,1,0,0,1,0,0,1,0,1,0,0,0
4536093,1,4,3,2,2,90,8,95,10,1,0,1,0,1,0,1,1,0,0,0,0,0
4602058,1,4,3,1,2,100,6,100,10,1,1,1,0,1,0,1,1,1,1,1,0,0
4641977,1,4,3,0,2,70,251,95,10,1,1,1,0,1,0,0,1,1,1,0,1,0
4683898,1,5,3,2,3,50,42,86,10,0,1,0,0,1,0,0,1,0,1,0,0,0
4708123,1,2,3,1,1,100,69,95,10,1,1,1,0,1,0,1,1,1,0,0,0,0
4716031,1,7,3,1,5,80,99,89,10,1,1,1,1,1,0,1,1,1,1,0,0,0
4750081,1,4,3,1,2,100,411,94,10,1,1,1,0,1,0,1,1,1,0,0,0,0
4773280,1,3,3,0,2,79,95,92,10,1,1,1,0,0,0,0,1,1,1,1,0,1
4783271,1,2,3,0,1,74,15,97,10,1,1,0,0,1,1,1,1,1,1,0,0,1
4785145,1,2,3,0,1,68,42,92,10,1,0,0,0,1,0,0,1,0,0,1,0,0
4916326,1,4,3,1,2,100,140,93,10,1,1,1,0,1,0,1,1,0,1,0,0,0
4927626,1,4,3,0,1,90,314,97,10,1,1,1,1,1,0,1,1,1,1,1,1,0
4984634,1,4,3,1,2,85,1,100,10,1,1,1,0,1,0,1,1,1,1,0,0,0
5028391,1,2,5,2,2,90,19,98,10,0,1,0,0,1,0,1,1,1,1,0,0,0
5044316,1,2,3,1,1,80,3,93,10,1,1,0,0,1,0,1,1,1,0,0,0,0
5098399,1,4,3,1,1,99,550,97,10,1,1,1,0,1,0,1,1,1,1,0,0,0
5183008,1,3,3,1,2,80,61,91,10,1,1,1,1,1,0,1,1,1,1,1,0,1
5201029,1,4,3,1,2,95,127,91,10,1,1,1,0,1,0,1,1,0,1,0,0,0
5235430,1,4,3,0,2,78,86,97,10,1,1,1,0,1,0,1,1,1,1,0,0,0
5370504,1,3,3,1,2,80,8,100,10,1,1,0,0,1,0,1,1,1,1,0,1,0
5395695,1,4,3,1,3,79,39,92,10,1,1,1,0,1,0,0,1,1,1,1,0,0
5440400,1,7,3,2,4,95,103,97,10,1,1,0,0,1,0,1,1,1,1,0,1,0
5478835,1,2,3,1,1,70,34,89,10,0,1,0,0,1,0,1,1,1,1,1,0,0
5543433,1,4,3,0,1,60,88,88,10,1,1,1,0,1,0,1,1,1,1,0,1,0
5581156,1,2,3,1,1,83,62,94,10,1,1,1,0,1,0,1,1,1,1,0,0,0
5584663,1,5,3,2,5,85,9,90,10,0,0,1,0,1,0,1,1,1,0,0,0,0
5588618,1,4,3,1,2,95,242,97,10,1,1,1,0,1,1,1,1,1,1,0,1,1
5591650,1,2,3,0,1,60,301,94,10,0,1,0,0,1,0,0,1,0,1,0,0,0
5624101,1,4,3,1,2,97,166,92,10,1,1,1,0,1,0,1,1,1,1,0,1,0
5626721,1,2,3,0,1,80,46,91,10,1,1,0,0,0,0,0,1,0,0,0,0,0
5658806,1,4,3,1,0,95,83,91,10,1,1,1,1,1,0,1,1,1,1,0,0,0
5678780,1,2,3,0,2,71,49,99,10,1,1,1,0,1,0,1,1,1,1,1,0,0
5689490,1,4,3,1,2,85,8,88,10,1,1,1,0,1,0,0,1,1,1,0,1,0
5722618,1,3,3,2,2,80,77,93,10,0,1,1,0,1,0,1,1,1,0,0,0,1
5734600,1,5,3,1,3,100,21,97,10,1,1,1,0,1,0,1,1,1,1,0,0,0
5763931,1,4,3,1,2,90,52,92,10,1,1,1,0,1,0,1,1,1,0,0,1,0
5808013,1,3,3,1,1,90,3,93,10,1,1,1,0,1,0,1,1,1,1,0,0,0
