neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,daily_price,number_of_reviews,review_scores_rating,review_scores_location,TV,WiFi,Air_Condition,Wheelchair_accessible,Kitchen,Breakfast,Elevator,Heating,Washer,Iron,Luggage_dropoff_allowed,Pets_allowed,Smoking_allowed
6,4,3,1,2,50,1,100,10,0,0,0,0,1,0,0,1,0,1,0,0,0
1,5,3,2,3,55,164,90,10,0,1,0,0,1,0,0,1,0,1,0,0,0
1,2,3,1,1,45,89,91,10,0,1,0,0,1,0,0,1,0,1,0,0,0
1,5,3,2,3,50,42,86,10,0,1,0,0,1,0,0,1,0,1,0,0,0
1,2,3,0,1,60,301,94,10,0,1,0,0,1,0,0,1,0,1,0,0,0
1,2,3,1,1,81,70,98,10,0,1,0,0,1,0,0,1,0,1,0,0,0
3,4,3,2,3,94,8,98,10,0,1,0,0,1,0,0,1,0,1,0,0,0
5,2,3,1,1,90,1,100,10,0,0,0,0,1,0,0,1,1,1,0,1,0
4,6,3,2,3,89,14,95,10,0,0,0,0,1,0,0,1,0,0,0,0,0
9,2,3,0,2,50,1,100,10,0,0,0,0,1,0,0,1,0,0,0,0,0
1,4,3,1,2,75,189,82,10,0,1,1,0,1,0,0,1,0,1,0,0,0
1,4,3,2,3,80,169,96,10,1,1,0,0,1,0,0,1,0,1,0,0,0
1,3,3,1,1,80,297,95,10,0,1,0,0,1,0,0,1,1,1,0,1,0
1,2,3,1,1,59,77,84,10,0,1,1,0,1,0,0,1,0,1,0,0,0
1,4,3,1,2,81,29,91,10,0,1,0,0,1,0,0,1,1,1,0,1,0
1,4,3,1,2,92,3,100,10,1,1,0,0,1,0,0,1,0,1,0,0,0
1,2,3,1,1,95,3,93,10,0,1,1,0,1,0,0,1,0,1,0,0,0
1,2,3,1,1,80,1,100,10,0,0,1,0,1,0,0,1,1,1,0,0,0
1,2,3,1,1,62,13,95,10,1,1,0,0,1,0,0,1,0,1,0,0,0
1,3,3,0,2,71,2,90,10,1,1,0,0,1,0,0,1,0,1,0,0,0
1,4,5,2,2,91,4,100,10,0,1,1,0,1,0,0,1,0,1,0,0,0
2,2,3,1,1,55,414,95,10,0,1,1,0,1,0,0,1,0,1,0,0,0
2,4,3,2,2,100,177,89,10,0,1,0,0,1,0,0,1,1,1,0,0,0
2,4,3,1,2,49,9,98,10,0,1,0,0,1,0,0,1,1,1,0,1,0
2,4,3,1,2,52,85,93,10,0,1,0,0,1,0,0,1,1,1,0,0,0
2,2,3,1,2,56,163,98,10,0,1,0,0,1,0,1,1,0,1,0,0,0
2,4,3,1,2,50,3,93,10,1,0,0,0,1,0,0,1,1,1,0,0,0
2,3,3,1,3,49,8,98,10,1,0,0,0,1,0,0,1,1,1,0,0,0
2,4,3,1,2,48,8,83,10,1,1,0,0,1,0,0,1,0,1,0,0,0
3,4,3,1,2,65,280,83,10,1,1,0,0,1,0,0,1,0,1,0,1,0
3,4,3,1,2,81,5,100,10,0,1,0,0,1,0,0,1,1,1,0,0,0
3,4,3,1,2,70,60,100,10,0,1,0,0,1,0,0,1,1,1,0,0,0
3,2,3,1,1,45,143,97,10,0,1,0,0,1,0,0,1,1,1,0,0,0
3,2,3,0,1,59,55,96,10,1,1,0,0,1,0,0,1,0,1,0,0,0
3,2,3,1,1,80,9,98,10,0,1,0,0,1,0,0,1,1,1,0,1,0
3,2,3,1,1,50,26,97,10,0,1,0,0,1,0,0,1,1,1,0,0,0
3,2,3,1,1,50,5,95,10,1,1,0,0,1,0,0,1,0,1,0,0,0
4,3,3,1,2,85,8,100,10,1,0,0,0,1,0,1,1,0,1,0,0,0
5,2,3,1,1,70,36,97,10,0,1,0,0,1,0,0,1,1,1,0,1,0
5,2,3,1,1,49,30,88,10,0,1,0,0,1,0,0,1,1,1,0,0,0
5,4,3,2,2,44,229,91,10,1,1,0,0,1,0,0,1,0,1,0,1,0
5,3,3,1,2,45,4,100,10,1,0,0,0,1,0,1,1,0,1,0,1,0
5,2,3,1,1,100,1,100,10,0,1,0,0,1,0,1,1,0,1,0,0,0
5,2,3,1,2,90,5,100,10,0,1,1,0,1,0,0,1,0,1,0,0,0
5,2,3,1,1,63,4,100,10,0,1,0,0,1,0,0,1,1,1,0,0,0
5,3,3,1,1,55,3,100,10,0,1,0,0,1,0,0,1,1,1,0,0,0
5,2,3,1,1,75,10,100,10,0,1,0,0,1,0,1,1,0,1,0,0,0
7,4,3,1,4,50,14,91,10,0,0,1,0,1,0,0,1,1,1,0,1,0
7,3,5,2,2,100,9,98,10,1,1,0,0,1,0,0,1,0,1,0,0,0
7,5,3,1,2,80,90,98,10,1,1,0,0,1,0,0,1,0,1,0,0,0
7,6,3,2,4,69,54,93,10,0,1,0,0,1,0,0,1,1,1,0,0,0
8,2,3,1,1,80,2,100,10,0,1,0,0,1,0,0,1,1,1,0,0,0
8,2,3,1,1,44,150,96,10,0,1,0,0,1,0,0,1,1,1,0,0,0
8,3,3,1,2,65,8,90,10,1,0,0,0,1,0,0,1,1,1,0,0,0
8,6,5,2,4,93,16,93,10,0,1,0,0,1,0,1,1,0,1,0,0,0
1,2,3,1,1,60,30,91,10,1,1,0,0,1,0,0,1,1,1,0,1,0
1,2,3,1,1,98,240,94,10,1,1,1,0,1,0,0,1,0,1,0,0,0
1,2,5,2,2,90,19,98,10,0,1,0,0,1,0,1,1,1,1,0,0,0
1,4,3,1,4,50,8,93,10,1,0,1,0,1,0,1,1,0,1,0,1,0
1,2,3,0,1,55,178,96,10,0,1,1,0,1,0,1,1,0,1,0,0,0
1,4,3,1,2,80,206,96,10,1,1,1,0,1,0,0,1,0,1,0,0,0
1,2,3,1,1,65,35,90,10,0,1,1,0,1,0,0,1,1,1,0,0,0
1,2,3,0,1,79,35,91,10,1,1,0,0,1,0,0,1,1,1,0,1,0
1,4,3,1,2,95,70,93,10,1,1,1,0,1,0,0,1,0,1,0,0,0
1,2,3,1,2,70,211,95,10,0,1,0,0,1,0,1,1,1,1,0,0,0
1,3,3,1,2,70,167,97,10,0,1,0,0,1,0,1,1,1,1,0,0,0
1,2,3,1,1,75,3,100,10,1,1,0,0,1,0,0,1,1,1,0,0,0
1,2,5,1,2,75,26,99,10,0,1,1,0,1,0,0,1,1,1,0,0,0
1,2,3,1,1,75,15,92,10,1,1,0,0,1,0,0,1,1,1,0,1,0
1,2,3,1,1,80,3,87,10,0,1,1,0,1,0,1,1,0,1,0,0,0
1,4,3,1,2,99,16,98,10,1,1,0,0,1,0,0,1,1,1,0,0,0
1,2,3,1,2,90,42,95,10,0,1,1,0,1,0,0,1,1,1,0,0,0
1,2,3,0,1,42,37,90,10,1,0,1,0,1,0,1,1,0,1,0,0,0
1,4,3,1,2,83,18,89,10,0,1,1,0,1,0,1,1,0,1,0,1,0
1,2,3,1,1,76,94,89,10,0,1,1,0,1,0,0,1,1,1,0,0,0
1,4,3,1,2,75,84,87,10,1,1,0,0,1,0,0,1,1,1,0,0,0
1,2,3,1,2,70,116,97,10,0,1,0,0,1,0,0,1,1,1,1,1,0
1,2,3,1,1,60,83,94,10,1,1,1,0,1,0,0,1,0,1,0,0,0
1,4,3,1,2,99,12,93,10,1,1,0,0,1,0,0,1,1,1,0,0,0
1,2,3,1,1,83,42,87,10,1,1,0,0,1,0,1,1,0,1,0,0,0
