number,age,familiarity,mentally_demanding,pace_of_task,satisfaction_rec1,satisfaction_rec2,searching_effort,discouraged,not_appealing1,not_appealing2,which_rec
32,23,4,3,4,6,4,1,4,1,4,1
31,23,6,1,1,7,4,1,1,1,3,1
30,54,6,3,2,7,3,1,1,2,5,1
29,42,5,6,6,6,6,5,4,5,5,1
28,52,5,1,1,7,5,1,1,1,2,1
27,35,6,1,1,7,6,1,1,1,3,1
26,25,6,1,1,7,5,1,1,1,4,1
25,23,5,6,4,5,6,6,5,4,4,1
24,56,5,1,1,7,5,1,1,1,3,1
23,25,4,1,5,7,5,1,3,1,3,1
22,26,6,1,1,5,6,1,1,5,3,2
21,26,6,1,1,6,7,1,1,5,4,2
20,62,6,2,1,6,6,2,1,5,3,2
19,32,6,4,4,6,6,1,4,4,4,1
18,39,6,1,1,7,3,5,4,1,5,1
17,38,5,1,1,7,5,2,1,1,4,1
16,56,6,1,1,7,5,1,1,1,5,1
15,20,5,5,3,7,5,2,2,3,5,1
14,22,4,2,4,4,2,2,3,5,6,1
13,22,5,3,1,7,7,1,1,6,7,1
12,23,5,1,1,7,7,1,1,1,1,2
11,24,4,2,4,6,5,3,3,6,4,2
10,22,5,1,4,7,7,3,1,4,4,1
9,23,4,1,1,7,5,1,1,1,3,1
8,23,5,4,4,5,6,5,4,5,6,2
7,23,5,2,5,6,7,5,4,3,2,2
6,21,4,4,2,6,5,4,2,2,3,1
5,21,4,4,4,7,7,4,4,4,4,2
4,23,5,1,2,6,5,2,1,2,5,1
3,25,5,2,2,7,7,1,1,7,7,2
2,22,5,1,1,6,6,1,1,3,2,2
1,56,6,1,1,7,5,2,1,1,5,1
0,23,6,1,1,7,6,1,2,1,2,1
