neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,daily_price,number_of_reviews,review_scores_rating,review_scores_location,TV,WiFi,Air_Condition,Wheelchair_accessible,Kitchen,Breakfast,Elevator,Heating,Washer,Iron,Luggage_dropoff_allowed,Pets_allowed,Smoking_allowed
1,5,5,2,3,150,3,100,10,1,1,0,0,0,1,0,1,0,0,0,0,0
2,2,3,0,1,44,29,92,9,1,1,0,0,0,1,0,0,0,1,0,0,0
3,2,3,1,1,150,2,100,10,1,0,1,0,0,1,0,1,0,0,0,0,0
1,2,3,1,2,80,35,91,10,1,1,0,0,0,1,1,1,0,0,0,0,0
1,5,3,1,3,119,2,100,10,1,0,0,0,1,1,1,1,0,0,0,0,0
2,2,3,0,1,40,28,91,8,1,1,0,0,1,1,0,1,0,0,0,0,0
2,2,3,1,1,50,2,100,9,1,1,0,0,0,1,0,1,0,1,0,0,0
3,2,3,1,1,59,173,91,9,1,1,0,0,0,1,1,1,0,0,0,0,0
3,6,3,2,3,98,5,100,10,1,0,1,0,1,1,0,1,0,0,0,0,0
4,2,3,0,2,33,152,89,9,1,1,0,0,0,1,0,1,0,1,0,0,0
6,2,3,1,1,50,10,89,9,1,1,0,0,1,1,0,1,0,0,0,0,0
6,2,3,1,1,75,108,95,10,1,1,0,0,0,1,0,1,0,1,0,0,0
6,2,3,1,1,50,6,100,9,1,0,0,0,1,1,0,1,0,1,0,0,0
6,2,3,1,1,70,7,94,9,1,1,0,0,1,1,0,1,0,0,0,0,0
6,4,3,1,2,80,5,96,9,1,0,0,0,1,1,0,1,1,0,0,0,0
1,2,3,1,1,100,24,98,10,1,1,0,0,1,1,0,1,1,0,0,0,0
1,4,5,3,3,900,10,98,10,1,1,0,0,1,1,0,1,1,0,0,0,0
1,10,10,4,7,440,23,90,10,1,1,1,0,0,1,1,1,0,0,0,0,0
1,2,3,1,2,80,202,98,10,1,1,1,0,1,1,0,1,0,0,0,1,0
2,4,3,1,2,72,86,96,9,1,1,0,0,1,1,0,1,1,0,0,0,0
