id,price_sky,score_reviews_sky,location_sky
3463140,2,5,6
3702057,2,5,6
4078234,3,5,6
4716031,1,5,6
5371335,2,5,6
5440400,1,5,6
7555075,2,5,6
7782839,2,5,6
14819032,2,5,6
16924608,2,4,6
17474734,3,5,6
17803555,3,5,6
18040399,2,5,6
18836262,3,4,6
21497935,2,5,6
21870677,3,4,5
21888330,2,5,6
24016080,5,5,6
24070821,2,5,6
24195440,5,5,6
24391739,3,5,6
24395589,1,5,6
24669816,3,5,6
27221431,4,5,6
27699141,3,3,6
31214285,1,5,6
32403790,2,5,4
32453811,3,4,4
32537813,2,5,6
33823508,10,5,6
34426717,3,5,6
35219070,2,5,6
466677,1,3,4
553285,3,5,6
1005537,1,5,3
2054289,1,5,5
5399456,1,4,6
5687480,1,5,6
6137063,2,5,6
6290462,1,5,5
9487950,2,5,6
10876888,2,5,6
17520790,2,5,4
21324503,1,5,5
23446900,1,3,4
23780173,2,4,5
25775548,2,5,5
26936979,3,4,5
31034450,1,5,5
31035577,1,5,5
31306064,1,5,5
32765484,1,5,6
33031202,1,1,3
274889,2,5,5
4065010,3,5,6
5380531,2,5,5
6312229,7,5,6
7020475,1,5,6
10740638,3,5,5
16411585,1,5,6
16526032,1,5,6
23473802,1,5,6
23685760,2,5,4
24272204,2,5,5
25321483,2,5,6
27588242,1,5,6
28711602,2,5,5
30415817,1,5,6
3788679,1,5,4
5054679,3,5,6
5958208,2,5,5
19130216,2,5,5
26492518,2,5,6
28529714,6,5,6
32085056,2,5,5
4104550,2,5,6
4106548,2,5,6
18040933,1,5,5
24114558,2,5,5
28363912,2,4,5
30344541,1,5,6
31480010,3,4,5
32886529,2,4,5
33087693,4,5,4
33148304,2,5,5
581227,2,5,5
4226325,1,5,5
4240968,2,5,5
5436037,1,5,5
5506195,4,5,5
11199295,2,5,6
13342320,2,5,5
17917445,2,5,6
22218641,2,5,6
26439373,2,5,6
27147481,2,5,6
32882669,1,5,5
33423447,2,5,6
6348170,2,4,6
14622676,2,5,5
17897867,2,5,6
21845624,1,5,5
31582588,1,5,6
32088390,1,5,6
32399015,3,5,6
33219985,1,5,6
715082,2,5,5
2626441,1,5,5
3557461,3,5,6
5532852,2,5,6
6943080,1,5,4
12159512,1,5,4
13302998,2,5,5
16522593,1,5,4
16526748,1,5,4
17690214,1,5,4
18040715,1,5,5
23730212,1,5,5
29094426,1,4,5
29818974,2,5,5
30550461,1,5,6
31108971,1,5,6
32187562,1,5,5
32470149,10,4,5
32811475,6,5,6
1147164,2,5,5
5156139,1,5,6
6300179,1,5,4
26736798,1,3,5
33009879,2,5,6
35943366,2,5,4
