id,price_sky,score_reviews_sky,location_sky
1458370,3,5,5
5276740,5,5,6
5407995,3,5,6
5727585,3,5,6
6160537,2,5,6
8407153,1,5,6
10842171,5,5,5
13269546,4,5,6
14792783,3,5,6
16414295,2,5,5
18615257,3,5,6
21071647,2,5,6
21373476,7,5,6
22004419,2,5,6
22920501,3,5,6
23053708,4,5,6
23900493,3,5,6
23931969,5,5,6
25136573,2,5,6
27079929,1,5,6
27512592,4,5,6
28971988,5,5,6
28976343,5,5,6
29453244,2,5,6
29751361,5,5,6
29753057,6,5,6
30496207,2,5,6
30765224,6,5,6
30928862,2,4,5
31013029,5,5,6
32567721,3,5,6
33695666,5,3,5
3535342,2,5,6
5045456,4,5,5
5963707,3,5,6
6089834,2,5,4
14083359,1,5,5
16170942,2,5,6
16329537,2,5,5
17756752,4,5,4
20967047,1,5,6
21876468,2,5,4
22087661,1,5,6
23298896,2,5,6
24317328,1,5,6
32440992,1,5,6
34584219,2,5,6
301889,5,5,6
763489,1,5,6
1019966,3,5,5
5922982,3,5,5
6322946,3,5,5
11041187,4,5,5
13871473,1,5,5
17431466,2,5,5
17978201,2,5,5
19287714,2,5,6
21084311,2,5,6
25289519,2,5,6
31687157,2,5,6
34057032,2,5,5
34563153,2,5,6
1216134,2,5,6
1751327,1,5,5
4821745,2,5,5
8448010,3,5,5
16376234,3,5,5
19849968,2,5,6
24416751,2,5,6
24424086,4,5,6
27151601,2,4,5
31084363,2,5,6
31108880,2,5,6
3529270,3,5,6
3808367,2,5,5
4635608,5,3,5
4724852,2,5,5
5814511,2,5,6
9720152,1,5,5
14381807,1,5,6
15963564,1,5,6
19028312,5,4,5
34532179,2,3,6
2531109,2,5,5
5719243,2,5,5
6899090,2,5,4
13826431,1,5,6
31427821,7,5,6
2174955,4,5,6
5864902,2,5,5
9671642,2,5,5
13321980,3,5,5
22938578,2,5,6
24341506,1,5,6
28456907,2,5,5
34219867,2,5,4
414465,3,5,5
766287,1,4,4
5667860,5,5,6
6260484,5,4,5
7169232,1,5,5
14657635,2,5,5
17758737,3,5,6
17800040,2,5,5
18641915,5,5,6
28244875,2,5,5
32014887,2,5,5
21878260,3,5,6
28267237,2,5,6
